g0,L2norm
0.29401471634,6.2791959004
0.29457215044,6.2837019296
0.29512863413,6.2882205398
0.29568416818,6.2927516855
0.29623875337,6.2972953211
0.29679239044,6.3018514008
0.29734508013,6.3064198788
0.29789682319,6.3110007089
0.29844762033,6.3155938451
0.29899747226,6.3201992409
0.29954637969,6.3248168499
0.30009434328,6.3294466254
0.30064136373,6.3340885205
0.30118744169,6.3387424883
0.30173257782,6.3434084816
0.30227677275,6.3480864531
0.3028200271,6.3527763553
0.3033623415,6.3574781403
0.30390371653,6.3621917605
0.3044441528,6.3669171676
0.30498365087,6.3716543135
0.30552221129,6.3764031496
0.30605983463,6.3811636274
0.30659652142,6.3859356978
0.30713227217,6.3907193119
0.30766708739,6.3955144203
0.30820096757,6.4003209736
0.30873391319,6.4051389219
0.30926592471,6.4099682154
0.30979700259,6.4148088037
0.31032714725,6.4196606366
0.31085635911,6.4245236632
0.31138463858,6.4293978327
0.31191198605,6.4342830939
0.31243840188,6.4391793952
0.31296388644,6.4440866851
0.31348844006,6.4490049116
0.31401206307,6.4539340223
0.31453475577,6.4588739647
0.31505651846,6.4638246861
0.31557735141,6.4687861334
0.31609725488,6.473758253
0.3166162291,6.4787409913
0.31713427431,6.4837342942
0.31765139069,6.4887381075
0.31816757845,6.4937523764
0.31868283775,6.498777046
0.31919716873,6.5038120609
0.31971057152,6.5088573654
0.32022304625,6.5139129036
0.320734593,6.5189786189
0.32124521185,6.5240544548
0.32175490284,6.529140354
0.32226366601,6.534236259
0.32277150138,6.539342112
0.32327840894,6.5444578547
0.32378438865,6.5495834284
0.32428944047,6.554718774
0.32479356433,6.559863832
0.32529676013,6.5650185424
0.32579902777,6.5701828449
0.3263003671,6.5753566787
0.32680077796,6.5805399825
0.32730026018,6.5857326945
0.32779881354,6.5909347527
0.32829643782,6.5961460942
0.32879313276,6.601366656
0.3292888981,6.6065963744
0.32978373351,6.6118351853
0.3302598288,6.616893462
0.33075283698,6.6221499408
0.33124491421,6.6274153188
0.33173606009,6.6326895297
0.33222627418,6.6379725068
