B,s
0.07424961935302374,0.34667155060511945
0.0739852280985578,0.3477055445617167
0.07379307235181529,0.3488458460990643
0.07368919468778326,0.3501136547230154
0.07369463871642755,0.35153544077908383
0.07383709620510347,0.35314379900492726
0.07415245186597016,0.35497704593393864
0.07468465390904222,0.3570749252174947
0.07547997618474608,0.35946563156069333
0.0765703617887607,0.3621415253989011
0.07794974760969405,0.365038402618042
0.07956776801424456,0.3680515214957313
0.0813549810056395,0.37108423398067497
0.0832519458117909,0.3740779889761923
0.08521885237773105,0.37700866838931946
0.08723209663540107,0.3798721149705392
0.08927850756672867,0.38267327069781365
0.09135104943438996,0.38542040024857777
0.09344619749911307,0.38812246009028845
0.09556243334455239,0.3907880315445307
0.09769939235765956,0.39342496277688555
0.0998573749900925,0.3960403127904399
0.10203705865878035,0.39864041334338246
0.10423931950537574,0.4012309677253079
0.10646511248851342,0.4038171514451501
0.10871537891983266,0.40640369986882596
0.11099096084469966,0.40899497573890287
0.11329250593009259,0.4115950115163742
0.11562034679575163,0.41420752013334305
0.11797433579963308,0.41683586381109416
0.1203536102096482,0.4194829638665861
0.12275625320921993,0.4221511241175267
0.1251788034300568,0.4248417256787964
0.12761555179274173,0.4275547316390706
0.13005755727053378,0.43028792033125285
0.13249133428692453,0.4330357608701185
0.13489726111744696,0.43578789438088816
0.1372480094204847,0.438527368248355
0.1395077614583777,0.4412291842690534
0.14163351700016055,0.4438603186321541
0.1435797474600706,0.4463826369135873
0.1453061150016482,0.44875908560038735
0.14678532399511837,0.45096109018659825
0.14800712979429745,0.4529734786352156
0.14897696583629028,0.45479478986717875
0.14971109971050187,0.4564339899174585
0.1502312989493687,0.45790610606576243
0.15056079643570697,0.4592285882559739
0.15072189501637245,0.46041895420885676
0.1507348360339333,0.4614935384837595
0.1506174422921048,0.4624669715059893
0.15038516530071036,0.46335207083585256
0.1500513106250936,0.46415993605487543
0.14962731967088305,0.46490012752251214
0.14912304909717888,0.46558086650455005
0.14854702313203022,0.46620922704015383
0.14790665117473803,0.4667913074546373
0.14720841098829054,0.4673323782183753
0.1464580010071175,0.46783700693619057
0.1456604662307703,0.4683091629128411
0.14482030209400923,0.46875230420962877
0.14394154021766487,0.4691694500294546
0.1430278193449485,0.4695632409695014
0.14208244418881139,0.46993598931861086
0.14110843440335039,0.47028972122532575
0.14010856546122655,0.4706262122499823
0.13908540286743692,0.47094701754813667
0.1380413308527544,0.4712534977133023
0.13697857646285075,0.4715468411267624
0.1358992297758323,0.4718280835165485
0.13480526083707467,0.4720981253087644
0.13369853378513924,0.4723577472575744
0.13258081855253137,0.47260762475978557
0.1314538004554564,0.47284834119195435
0.13031908793242816,0.47308040054927186
0.1291782186522766,0.47330423961274987
0.12803266418289863,0.4735202398229365
0.12688383339459233,0.47372873899219087
0.12573307475951126,0.47393004294350954
0.12458167770662365,0.47412443712032903
0.1234308731918044,0.4743121981700697
0.12228183364742301,0.4744936054645037
0.12113567248303113,0.474668952483656
0.11999344331447943,0.4748385579589773
0.11885613910408761,0.47500277664735524
0.11772469139447903,0.47516200959256777
0.11659996981567079,0.47531671372613654
0.1154827820330775,0.4754674106670225
0.11437387428792,0.47561469459889333
0.1132739326568313,0.4757592391349014
0.11218358512924391,0.4759018031210333
0.11110340456692164,0.47604323537839205
0.11003391257657938,0.4761844784387218
0.10897558429214108,0.47632657138340456
0.10792885403387854,0.4764706519504886
0.10689412178795107,0.4766179581245496
0.10587176043355508,0.47676982946849406
0.10486212363894035,0.47692770849368216
0.10386555435122505,0.4770931423953694
0.10288239381798081,0.4772677855059353
0.1019129911030922,0.4774534028406977
0.1009577130912143,0.4776518751342629
0.10001695501781183,0.4778652057928333
0.09909115161136901,0.4780955302252766
0.09818078899442785,0.47834512806828944
0.09728641756054342,0.4786164388956208
0.09640866612782492,0.47891208210634306
0.09554825777178544,0.4792348818324741
0.09470602786722578,0.4795878979051381
0.09388294502985842,0.47997446418876993
0.0930801358597749,0.48039823595780995
0.09229891466885208,0.48086324848374495
0.09154081975495192,0.4813739896672437
0.0908076583080547,0.48193549045603173
0.09010156276310595,0.4825534380229499
0.08942506244225822,0.48323431836711733
0.08878117579584423,0.48398559731453256
0.08817353065966275,0.4848159520605759
0.08760652299950228,0.4857355696880216
0.08708552904104495,0.4867565347781287
0.0866171920635487,0.4878933353643417
0.08620981411951793,0.4891635243067402
0.08587389485088708,0.49058857848178017
0.085622872950376,0.492194990927832
0.08547413287825753,0.4940155830895416
0.0854503128653084,0.4960908617992479
0.08558080834556492,0.4984697908327676
0.08590289806269977,0.5012082393935504
0.08646073171330988,0.5043612110874673
0.08729840005927456,0.507962837879729
0.0884431784601514,0.5119932559768635
0.08988470025805877,0.5163549267755085
0.09157164623794008,0.5208976811034796
0.09343521892576834,0.5254818190467697
0.09541530312353655,0.5300175708961045
0.09747000360910753,0.5344626885088073
0.09957327216129641,0.5388045046768656
0.10170976093325956,0.5430451078036928
0.1038706802040636,0.5471927829996802
0.1060511297736252,0.5512577701997119
0.10824850498471385,0.5552503486417047
0.11046156489241339,0.5591800579501627
0.1126898868253032,0.5630554461410248
0.1149335436689975,0.5668840501746386
0.11719291025263892,0.5706724708935806
0.1194685455688992,0.5744264789854598
0.1217611202581278,0.5781511239648578
0.12407137155640748,0.5818508347285848
0.12640007516772542,0.5855295078786363
0.1287480277092711,0.5891905834086685
0.1311160358407452,0.592837108754453
0.13350490965645945,0.5964717926752618
0.1359154588137286,0.6000970504860142
0.13834849042086492,0.6037150420340213
0.14080480805480952,0.6073277036341328
0.1432852114965442,0.6109367749861461
0.1457904969144595,0.6145438219276455
0.1483214573169705,0.6181502557256068
0.15087888315584638,0.621757349484979
0.15346356300130087,0.6253662521488375
0.15607628423671357,0.6289780004806106
0.15871783373787424,0.6325935293490531
0.1613889985140762,0.6362136805814776
0.1640905662950417,0.6398392106035204
0.16682332605464686,0.6434707970490391
0.16958806846398977,0.6471090444909683
0.17238558627003414,0.6507544894212589
0.1752166745960412,0.6544076045859073
0.17808213116215071,0.6580688027662229
0.1809827564240351,0.6617384400826082
0.18391935362769135,0.6654168188857761
0.1868927287791995,0.6691041902918985
0.18990369052698364,0.6728007564088582
0.19295304995566445,0.6765066722964166
0.19604162028824987,0.680222047694992
0.1991702164956088,0.6839469485561344
0.20233965480949154,0.6876813984009268
0.20555075213828308,0.6914253795330005
0.20880432538184618,0.6951788341268774
0.21210119064295904,0.6989416652115269
NaN,NaN
0.21058066725937852,0.827954547837342
0.20608660272851415,0.827965391255262
0.20160779218405722,0.8280612408704981
0.1971440782004768,0.8282431606071189
0.19269540907316302,0.8285121258773419
0.18826183814088332,0.8288690241555223
0.18384352234422763,0.829314659707473
0.17944072011997697,0.8298497633948335
0.17505378883040887,0.8304750085549714
0.170683182061343,0.8311910340391343
0.16632944730197555,0.8319984755790618
0.16199322476235525,0.8328980067493512
0.15767524842688355,0.8338903909004965
0.15337635094209567,0.8349765455477699
0.14909747471437645,0.8361576207778448
0.14483969281531808,0.8374350931958271
0.14060424533019997,0.8388108765692226
0.13639260023957095,0.8402874491848189
0.13220655399436654,0.8418679950235429
0.12804839790055797,0.8435565490104728
0.12392119673008693,0.8453581210357785
0.11982926469437662,0.8472787384137098
0.11577899949401188,0.8493252674500064
0.11178038511357345,0.8515046953629003
0.107849769780616,0.8538221459124457
0.10401507173218692,0.8562759993066661
0.10032532885103952,0.8588467055201275
0.09686621917984509,0.8614737376293262
0.09377539368339162,0.8640197117773686
0.0912248601206382,0.8662541735275171
0.08933257496509597,0.8679301204409319
