t,Omega,commanded,field,spiking
194.22,-0.06365481588773775,5.9652194115768475,5.979685472611382,5.888854159011623
194.24,-0.061688781883960216,5.96396597559913,5.9785644028293525,5.885640129965737
194.26,-0.060127230403964685,5.962747815476252,5.977439431518543,5.882341240779451
194.28,-0.06250665850077872,5.961521476587204,5.97631126798243,5.879419940193292
194.3,-0.06442812577043774,5.960252128744491,5.9751789416690695,5.875303323838669
194.32,-0.06786386131417739,5.958929208873646,5.974041107203817,5.871967731046756
194.34,-0.06992554747635964,5.95755131478574,5.972895984573058,5.869657872425173
194.36,-0.07133338332274569,5.956138725477748,5.971742307390581,5.867923181722465
194.38,-0.07103880046626049,5.954715003639859,5.970579429480039,5.865409319768557
194.4,-0.06830484941819659,5.953321567141014,5.969407766640037,5.861919737910768
194.42000000000002,-0.07037006193646335,5.951934818027467,5.968228437546743,5.858099537419931
194.44,-0.06905495183822177,5.950540567889721,5.967041126637659,5.85459289230704
194.46,-0.07491478394903252,5.949100870531848,5.965845686506984,5.852324760508581
194.48000000000002,-0.07449887233725468,5.947606733968985,5.9646399476388305,5.849956282636865
194.5,-0.07401896904717671,5.946121555555142,5.963423682025059,5.846431277710356
194.52,-0.07472183215088146,5.9446341475431606,5.962197232813934,5.844224519913017
194.54,-0.07742162626812091,5.943112712958972,5.960960231804596,5.841484469412822
194.56,-0.07538376681657952,5.941584659028124,5.959711847192642,5.838723755363772
194.58,-0.07611922868258078,5.940069629073132,5.958452766831833,5.8358772343819245
194.6,-0.07587833367541508,5.938549653449553,5.957183100037231,5.833395518265108
194.62,-0.07535221426778868,5.93703734797012,5.955903108929484,5.830652397058844
194.64000000000001,-0.07246551111417539,5.9355591707163,5.954613531810912,5.828691943225938
194.66,-0.07550246631271146,5.9340794909420325,5.953315503813866,5.827904818380763
194.68,-0.07437998739011278,5.932580666405004,5.95200832323601,5.826100986454496
194.70000000000002,-0.08008458245934785,5.931036020706508,5.950691711443716,5.822692616774245
194.72,-0.08490470812874469,5.929386127800629,5.949363026068536,5.819610585666429
194.74,-0.08623929343390867,5.927674687785001,5.948019680988102,5.819124270126399
194.76,-0.08587457141523178,5.925953549136511,5.946660880752798,5.8201210940540085
194.78,-0.08849284646306343,5.924209874957727,5.945286617694323,5.8199524876370505
194.8,-0.09039638515801154,5.9224209826415155,5.943895876114537,5.819678168224606
194.82,-0.08963852395867378,5.92062063355035,5.942487928048143,5.819146294301182
194.84,-0.08939897518556549,5.918830258558907,5.941063211750462,5.819394947574254
194.86,-0.08665224039306266,5.91706974640312,5.939622495147459,5.817390089474682
194.88,-0.08619331364839301,5.915341290862707,5.938167310561376,5.815999510406626
194.9,-0.08719318105622792,5.91360742591566,5.936698315105143,5.815265745330694
194.92000000000002,-0.08876610771911214,5.911847833027905,5.935215238735903,5.816411109183375
